USW00012842,20030101,AWND,34,,,X,
USW00012842,20030101,FMTM,1457,,,X,
USW00012842,20030101,PGTM,1540,,,W,
USW00012842,20030101,TAVG,189,,,W,
USW00012842,20030101,TSUN,587,,,X,
USW00012842,20030101,WDF2,270,,,X,
USW00012842,20030101,WDF5,270,,,X,
USW00012842,20030101,WESD,0,,,0,
USW00012842,20030101,WSF2,72,,,X,
USW00012842,20030101,WSF5,80,,,X,
USW00012842,20030101,WT01,1,,,0,
USW00012842,20030101,WT13,1,,,X,
USW00012842,20030101,WT16,1,,,0,
CA003031094,20030101,TMAX,25,,,C,
CA003031094,20030101,TMIN,-147,,,C,
CA003031094,20030101,SNWD,70,,,C,
ASN00068151,20030101,TMAX,200,,,a,
ASN00068151,20030101,TMIN,180,,,a,
ASN00068151,20030101,PRCP,180,,,a,
USW00003967,20030101,TMAX,33,,,W,
USW00003967,20030101,TMIN,-28,,,W,
USW00003967,20030101,PRCP,0,,,W,
USW00003967,20030101,AWND,60,,,W,
USW00003967,20030101,FMTM,1908,,,W,
USW00003967,20030101,PGTM,1907,,,W,
USW00003967,20030101,TAVG,6,,,W,
USW00003967,20030101,TSUN,0,,,W,
USW00003967,20030101,WDF2,20,,,W,
USW00003967,20030101,WDF5,20,,,W,
USW00003967,20030101,WSF2,103,,,W,
USW00003967,20030101,WSF5,130,,,W,
ARM00087582,20030101,TMIN,188,,,S,
ARM00087582,20030101,PRCP,0,,,S,
ARM00087582,20030101,TAVG,213,H,,S,
USS0014G01S,20030101,TMAX,-16,,,T,
USS0014G01S,20030101,TMIN,-94,,,T,
USS0014G01S,20030101,TOBS,-77,,,T,
USS0014G01S,20030101,PRCP,0,,,T,
USS0014G01S,20030101,TAVG,-63,,,T,
USS0014G01S,20030101,WESD,1346,,,T,
USS0017B04S,20030101,TMAX,-10,,,T,
USS0017B04S,20030101,TMIN,-40,,,T,
USS0017B04S,20030101,TOBS,-10,,,T,
USS0017B04S,20030101,PRCP,102,,,T,
USS0017B04S,20030101,TAVG,-31,,,T,
USS0017B04S,20030101,WESD,2083,,,T,
USS0018F01S,20030101,TMAX,-11,,,T,
USS0018F01S,20030101,TMIN,-85,,,T,
USS0018F01S,20030101,TOBS,-30,,,T,
USS0018F01S,20030101,PRCP,0,,,T,
USS0018F01S,20030101,TAVG,-46,,,T,
USS0018F01S,20030101,WESD,584,,,T,
USS0019L03S,20030101,TMAX,132,,,T,
USS0019L03S,20030101,TMIN,-149,,,T,
USS0019L03S,20030101,TOBS,-25,,,T,
USS0019L03S,20030101,PRCP,51,,,T,
USS0019L03S,20030101,SNWD,1219,,,T,
USS0019L03S,20030101,TAVG,-48,,,T,
USS0019L03S,20030101,WESD,2845,,,T,
USW00003889,20030101,TMAX,111,,,0,0700
USW00003889,20030101,TMIN,17,,,0,0700
USW00003889,20030101,PRCP,180,,,0,2400
USW00003889,20030101,SNOW,0,,,0,
USW00003889,20030101,SNWD,0,,,0,
USW00003889,20030101,AWND,27,,,X,
USW00003889,20030101,FMTM,103,,,X,
USW00003889,20030101,PGTM,135,,,W,
USW00003889,20030101,TAVG,67,,,W,
USW00003889,20030101,TSUN,0,,,W,
USW00003889,20030101,WDF2,50,,,X,
USW00003889,20030101,WDF5,30,,,X,
USW00003889,20030101,WESD,0,,,0,
USW00003889,20030101,WSF2,63,,,X,
USW00003889,20030101,WSF5,94,,,X,
USW00003889,20030101,WT01,1,,,0,
USW00003889,20030101,WT02,1,,,X,
USW00003889,20030101,WT13,1,,,X,
USW00003889,20030101,WT16,1,,,0,
USS0014F03S,20030101,TMAX,-47,,,T,
USS0014F03S,20030101,TMIN,-172,,,T,
USS0014F03S,20030101,TOBS,-85,,,T,
USS0014F03S,20030101,PRCP,0,,,T,
USS0014F03S,20030101,TAVG,-107,,,T,
USS0014F03S,20030101,WESD,2794,,,T,
USS0013D26S,20030101,TMAX,-18,,,T,
USS0013D26S,20030101,TMIN,-110,,,T,
USS0013D26S,20030101,TOBS,-18,,,T,
USS0013D26S,20030101,PRCP,0,,,T,
USS0013D26S,20030101,TAVG,-59,,,T,
USS0013D26S,20030101,WESD,787,,,T,
ASN00067070,20030101,PRCP,0,,,a,
USS0014C04S,20030101,TMAX,-22,,,T,
USS0014C04S,20030101,TMIN,-82,,,T,
USS0014C04S,20030101,TOBS,-23,,,T,
USS0014C04S,20030101,PRCP,51,,,T,
USS0014C04S,20030101,SNWD,1092,,,T,
USS0014C04S,20030101,TAVG,-40,,,T,
USS0014C04S,20030101,WESD,2311,,,T,
USS0011G01S,20030101,TMAX,2,,,T,
USS0011G01S,20030101,TMIN,-98,,,T,
USS0011G01S,20030101,TOBS,-83,,,T,
USS0011G01S,20030101,PRCP,0,,,T,
USS0011G01S,20030101,TAVG,-56,,,T,
USS0011G01S,20030101,WESD,1600,,,T,
USS0011G06S,20030101,TMAX,-6,,,T,
USS0011G06S,20030101,TMIN,-80,,,T,
USS0011G06S,20030101,TOBS,-57,,,T,
USS0011G06S,20030101,PRCP,25,,,T,
USS0011G06S,20030101,SNWD,965,,,T,
USS0011G06S,20030101,TAVG,-40,,,T,
USS0011G06S,20030101,WESD,1981,,,T,
USR0000MMAR,20030101,TMAX,89,H,,U,
USR0000MMAR,20030101,TMIN,44,H,,U,
USR0000MMAR,20030101,TAVG,70,,,U,
USR0000TSBS,20030101,TMAX,178,H,,U,
USR0000TSBS,20030101,TMIN,0,H,,U,
USR0000TSBS,20030101,TAVG,82,,,U,
USS0006J03S,20030101,TMAX,-16,,,T,
USS0006J03S,20030101,TMIN,-125,,,T,
USS0006J03S,20030101,TOBS,-125,,,T,
USS0006J03S,20030101,PRCP,0,,,T,
USS0006J03S,20030101,TAVG,-84,,,T,
USS0006J03S,20030101,WESD,2337,,,T,
USS0008M07S,20030101,TMAX,-51,,,T,
USS0008M07S,20030101,TMIN,-200,,,T,
USS0008M07S,20030101,TOBS,-184,,,T,
USS0008M07S,20030101,PRCP,0,,,T,
USS0008M07S,20030101,TAVG,-119,,,T,
